Club;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Manchester City;89;78;86;79;66;78;100;98;81;86;93
Manchester United;89;89;64;70;66;69;81;66;66;74;58
Arsenal;70;73;79;75;71;75;63;70;56;61;69
Tottenham Hotspur;69;72;69;64;70;86;77;71;59;62;71
Chelsea;64;75;82;87;50;93;70;72;66;67;74
Everton;56;63;72;47;47;61;49;54;49;59;39
Liverpool;52;61;84;62;60;76;75;97;99;69;92
Newcastle United;65;41;49;39;37;0;44;45;44;45;49
West Ham United;0;46;40;47;62;45;42;52;39;65;56
Southampton;0;41;56;60;63;46;36;39;52;43;40
Crystal Palace;0;0;45;48;42;41;44;49;43;44;48
West Bromwich Albion;47;49;36;44;43;45;31;0;0;26;0
Aston Villa;38;41;38;38;17;0;0;0;35;55;45
Leicester City;0;0;0;41;81;44;47;52;62;66;52
Swansea City;47;46;42;56;47;41;33;0;0;0;0
Stoke City;45;42;50;54;51;44;33;0;0;0;0
Burnley;0;0;0;33;0;40;54;40;54;39;35
Norwich City;47;44;33;0;34;0;0;0;21;0;22
Sunderland;45;39;38;38;39;24;0;0;0;0;0
Watford;0;0;0;0;45;40;41;50;34;0;23
Fulham;52;43;32;0;0;0;0;26;0;28;0
Wolverhampton Wanderers;25;0;0;0;0;0;0;57;59;45;51
Bournemouth;0;0;0;0;42;46;44;45;34;0;0
Brighton & Hove Albion;0;0;0;0;0;0;40;36;41;41;51
Queens Park Rangers;37;25;0;30;0;0;0;0;0;0;0
